State,Total_Establishments,Total_Employees,Aircraft_Employees,Aircraft_Establishments,Aluminum_Employees,Aluminum_Establishments,Chocolate_Employees,Chocolate_Establishments,Paper_Employees,Paper_Establishments,Petro_Employees,Petro_Establishments,Plastics_Employees,Plastics_Establishments,Semiconductor_Employees,Semiconductor_Establishments,Textile_Employees,Textile_Establishments,Tobacco_Employees,Tobacco_Establishments,Vehicle_Employees,Vehicle_Establishments,Wood_Employees,Wood_Establishments
Alabama,26.66515692687488,1575.8106089498121,8.387558499824658,0.043550186301475544,7.392125670076646,0.07465746223110094,0.0705098254404842,0.024885820743700313,47.34423705569218,0.26130111780885323,7.567363324480202,0.08710037260295109,68.7543381688557,0.6802124336611418,0.4106160422710551,0.008295273581233437,18.347071343293052,0.43757568141006375,3.3678810739807754,0.0663621886498675,65.62598311953303,0.346327672016496,56.78322148193818,1.6030616195733616
Alaska,21.819703082511566,547.809895153319,0.5058452469003307,0.08202895895681038,0.15038642475415237,0.04101447947840519,0.7450963771910277,0.08202895895681038,0.24608687687043115,0.05468597263787359,11.853184569259101,0.3554588221461783,3.1581149198371996,0.31444434266777316,0.0,0.0,2.296810850790691,0.3281158358272415,3.479395009084707,0.3554588221461783,0.027342986318936793,0.013671493159468397,8.804441594697648,0.9159900416843826
Arizona,19.575005092888954,619.5241906502952,14.4439671583053,0.10834310583061395,3.5852412274510908,0.04730473634857792,0.17014445493117542,0.018311510844610808,6.160297439974486,0.14649208675688646,0.5585010807606297,0.05798645100793423,16.55360580352817,0.4791512004339828,10.00495173772423,0.07324604337844323,4.606107957038144,0.2716207441950603,3.925530137313442,0.06866816566729053,14.128093596235765,0.12818057591227563,15.17337567361563,0.7370383114955851
Arkansas,27.363992986408537,1748.4777719267133,10.913384315583132,0.06103492859421979,3.1212584317210728,0.06442575796056534,0.8087128038734123,0.027126634930764348,62.142034382331616,0.3628187421989732,6.6578934608194755,0.1458056627528584,64.0171630219207,0.7493732899623652,0.0,0.0,3.3789614635633343,0.29500215487206227,2.824560862165838,0.09833405162402077,27.34364801021046,0.19327727388169602,46.671375398380064,1.685242195073735
California,30.570617350609584,968.0412907716665,10.366066680458648,0.07491831931659772,1.890176052792968,0.04836831843597888,1.8102631788552639,0.05047128880276056,9.393705757117964,0.2024108978027377,6.884073495659863,0.0654549526660801,29.428047263207507,0.6868826960500696,6.872112851698792,0.09726237946365317,7.563990102369968,0.4313717964860942,10.998140711324469,0.36880842807433895,9.05985921139137,0.18190693672661623,13.471891040899356,0.760223787591581
Colorado,28.3484675519346,728.0415037294832,1.1758850269740313,0.03855360744177152,0.7122778974867289,0.021204484092974336,2.0086429477162966,0.08867329711607451,6.045205646869775,0.14072066716246606,2.34213165208762,0.0481920093022144,19.414632867490095,0.6592666872542929,5.393649681103836,0.055902730790568705,7.294342527983171,0.45686024818499255,8.595526779142961,0.25445380911569204,9.17286705058349,0.14264834753455463,13.955442053735247,1.0621518850208054
Connecticut,36.32239446493612,1232.4170894902359,48.78915603422176,0.2757393644681141,3.267093682031291,0.08077213706641725,0.6809926728530696,0.04456393769181642,18.34920134460541,0.2896655949968067,1.0932090965023715,0.12533607475823366,36.2416223278697,0.894063999942067,3.4885207474375037,0.04177869158607789,9.036730990068648,0.4902033146099806,1.5444189656320126,0.11419509033527957,10.199571239214483,0.21167870403612798,10.103480248566502,0.9748361370084841
Delaware,18.87487842004946,1003.9832426844853,4.083559773719539,0.010904031438503442,0.15810845585829994,0.010904031438503442,1.1067591910080996,0.0763282200695241,9.426535178586228,0.11994434582353787,11.023975784326982,0.14175240870054476,45.55159133434813,0.8178023578877582,0.8287063893262616,0.03271209431551033,3.9636154278960016,0.3053128802780964,2.349818774997492,0.098136282946531,0.4797773832941515,0.0763282200695241,6.1825858256314525,0.5561056033636756
District of Columbia,5.3137399715019065,87.72415363666985,2.7912949552681146,0.03162940459227325,0.0,0.0,0.03162940459227325,0.015814702296136626,0.0,0.0,0.22140583214591278,0.03162940459227325,0.22931318329398107,0.015814702296136626,0.0,0.0,0.2372205344420494,0.07907351148068313,0.0632588091845465,0.03162940459227325,0.0,0.0,3.2815507264483497,0.07907351148068313
Florida,20.025812773119267,462.7810809310986,4.5740747489539055,0.05849597630509182,1.022385426571295,0.03882476303435298,0.5026512654180899,0.035201118484480036,8.101433886501654,0.12423924170992953,0.7674361493123771,0.03882476303435298,13.693493922216295,0.4762504265547298,0.5290521042814499,0.01863588625648943,4.040104841354771,0.43535500949187805,4.147261187329585,0.07609653554733184,3.576796002478159,0.10405036493206599,9.635529689865722,0.7185169478890924
Georgia,22.557584744673484,1087.1960479619595,7.883612257930866,0.03125017326204934,2.0499105589799136,0.03830666399864112,1.6350897106788393,0.03629052378818633,35.72701259936421,0.2802434892532166,1.5161374382620065,0.10786350125933157,45.081903175874466,0.6784311808180388,0.24748121083332617,0.004032280420909592,54.7119968911118,0.7026248633434964,3.6900406201848903,0.07459718778682745,14.064594108132656,0.1421378848370631,28.260237329944875,1.0655301012253595
Hawaii,17.21595646955821,272.95586552736347,0.0,0.0,0.014364586123953449,0.007182293061976724,3.5193236003685953,0.10773439592965087,0.16519274042546467,0.028729172247906897,5.0132405572597545,0.028729172247906897,2.6538572864003998,0.22265108492127847,0.0,0.0,1.3610445352445895,0.22265108492127847,4.9916936780738235,0.21546879185930173,0.057458344495813794,0.028729172247906897,5.609370881403822,0.5602188588341845
Idaho,33.20114706265729,992.7913779792044,3.029965006567535,0.08146751827379102,1.7546850089739603,0.06266732174907001,1.4382150341411568,0.06893405392397702,23.738381478547723,0.15040157219776804,0.14100147393540755,0.031333660874535006,19.307801830888472,0.6454734140154211,16.17130237734752,0.031333660874535006,4.91311802512709,0.41987105571876915,2.5912937543240453,0.20680216177193106,0.6956072714146772,0.11280117914832602,54.46730269820421,2.7072282995598247
Illinois,32.31780652111356,1376.7711785125807,3.7607022152182616,0.01631035657157858,2.87605954212169,0.06524142628631432,6.463561304222712,0.07844504827283033,24.61543480109714,0.34484753894194714,7.613441442519002,0.08543520108922115,67.0903217062497,1.0213389948393254,0.46989360599071633,0.015533672925312936,4.315642680475066,0.3161102440301182,3.5257554122229036,0.09009530296681502,22.26868516390549,0.2190247882469124,14.738737213360046,0.809304359408804
Indiana,37.37762213159065,2213.0581059496117,7.6644393570834835,0.038241888818897736,13.96287844555594,0.12849274643149639,2.7312356994456763,0.06730572432126002,27.677184613789045,0.37171115931968596,9.952069146229945,0.11931469311496093,114.30424084190895,1.4470730729070902,0.4757290969070878,0.012237404422047274,5.7661119961134,0.3839485637417332,3.7431160775937102,0.12390371977322866,93.85553805266795,0.5506831989921274,57.92192964287889,1.7117069435338625
Iowa,35.17028572766905,2061.316393998281,3.0577199948213933,0.016264468057560603,9.3797187287952,0.058552085007218174,2.3274453790369223,0.06180497861873029,23.79166387459965,0.2992662122591151,2.1957031877706816,0.06505787223024241,78.70213448372999,0.9303275728924665,0.30089265906487117,0.016264468057560603,4.687419694188965,0.31878357392818785,2.9877827821738827,0.15613889335258177,24.412966554398466,0.26023148892096964,59.168508346599715,1.2718814021012392
Kansas,29.928220090404913,1583.0354776058116,60.94968476093288,0.2945349898905196,0.5752095096685442,0.04504652786560888,4.0178037738595,0.03811629280936136,7.654444619625386,0.19751169910305436,14.406226123174534,0.1386047011249504,76.62241134063665,0.8836049696715588,0.40888386831860374,0.01386047011249504,10.159724592458865,0.3846280456217374,2.209012424178897,0.086627938203094,9.04049163087489,0.18018611146243552,18.60768112602459,0.9355817325934153
Kentucky,25.98383943073887,1589.5548709425932,4.064683369041518,0.03196044210422985,13.747555882262297,0.08218399398230532,1.4736046698771692,0.043374885712883365,44.31657731059729,0.34243330825960555,4.760964429169382,0.11186154736480447,92.94895574962646,0.8423859383186296,0.009131554886922815,0.004565777443461407,6.290499872728954,0.2716637578859537,12.69628562590531,0.17578243157326418,84.2831101619367,0.3721108616421047,43.6374179158824,1.4496343382989967
Louisiana,21.584595730496122,926.7686145679615,1.0473950611194132,0.013038112794017592,3.110676410772697,0.026076225588035185,1.0158862885338709,0.03259528198504398,32.899504616904395,0.20643678590527853,50.53463868021269,0.2151288611012903,23.169812944368765,0.43460375980058635,0.02173018799002932,0.01086509399501466,4.079842795128005,0.38027828982551315,1.8959589021300582,0.07605565796510262,9.298347440933545,0.08257471436211142,26.004515967668087,0.8279201624201171
Maine,37.26323962226676,1141.539371287218,13.696290678848504,0.030093470318810225,1.7341362271214393,0.030093470318810225,0.8087620148180248,0.11285051369553835,87.57952199531746,0.32350480592720987,1.8958886300850442,0.15799071917375368,36.69898705378907,0.744813390390553,8.471311894745078,0.022570102739107666,14.542669531565041,1.083364931477168,9.283835593352954,0.2783646004489946,3.0018236643013196,0.12789724885494344,51.158899541977384,2.4827113013018436
