book_id,title,author,price,description,publisher,max_rank,avg_rank,min_rank,weeks_on_list,start_year,start_month,start_day,keyword_crime,keyword_murder,keyword_mystery,keyword_relationship,keyword_newyork,keyword_starwars
chuckpalahniuk_snuff,SNUFF,Chuck Palahniuk,24.95,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,Doubleday,18.0,12.0,5.0,5,2008,5,24,False,False,False,False,False,False
chuckpalahniuk_tellall,TELL-ALL,Chuck Palahniuk,24.95,"
A much-married star is seduced by a bounder who has written a memoir about her death in this sendup of celebrity culture.",Doubleday,20.0,16.0,10.0,3,2010,5,9,True,False,False,False,False,False
chuckwendig_aftermathempiresend,AFTERMATH:: EMPIRE'S END,Chuck Wendig,,The conclusion to the Star Wars trilogy set in the years between “Return of the Jedi” and “The Force Awakens.”,Del Rey,11.0,7.0,3.0,2,2017,2,25,False,False,False,False,False,True
chuckwendig_lifedebtaftermath,LIFE DEBT: AFTERMATH,Chuck Wendig,,"The continuation of ""Star Wars: Aftermath"" and the second book of the Aftermath trilogy is set between ""Return of the Jedi"" and ""The Force Awakens."" A ""Star Wars"" novel.",Del Rey,9.0,9.0,9.0,1,2016,7,16,False,False,False,False,False,True
chuckwendig_starwarsaftermath,STAR WARS: AFTERMATH,Chuck Wendig,,"In this continuation of the ‘Star Wars’ series, the Imperial elite haven’t reckoned on the former rebel fighter Norra Wexley.",Del Rey,18.0,11.8,4.0,5,2015,9,5,False,False,False,False,False,True
cixinliu_deathsend,DEATH'S END,Cixin Liu,,,Tor,19.0,19.0,19.0,1,2016,9,24,False,False,False,False,False,False
cjbox_backofbeyond,BACK OF BEYOND,C J Box,25.99,"Cody Hoyt, a brilliant cop and an alcoholic struggling with two months of sobriety, is determined to find his mentor’s killer.",Minotaur,15.0,15.0,15.0,1,2011,8,6,True,False,False,False,False,False
cjbox_badlands,BADLANDS,C J Box,,"Detective Cassie Dewell must deal with a drug-gang war in a North Dakota oil boomtown, where a paperboy has accidentally taken possession of a shipment.",Minotaur,17.0,12.333333333333334,5.0,3,2015,8,1,False,False,True,False,False,False
cjbox_breakingpoint,BREAKING POINT,C J Box,26.95,"The 13th novel featuring Joe Pickett, a Wyoming game warden. ",Putnam,20.0,11.5,5.0,4,2013,3,16,False,False,False,False,False,False
cjbox_coldwind,COLD WIND,C J Box,25.95,"Joe Pickett, a Wyoming game warden, must try to prove that his mother-in-law isn’t guilty of murdering her fifth husband.",Putnam,20.0,15.0,10.0,2,2011,3,26,True,True,False,False,False,False
cjbox_endangered,ENDANGERED,C J Box,,"When his 18-year-old ward is found beaten in a ditch, the Montana game warden Joe Pickett suspects her boyfriend, a rodeo star.",Putnam,15.0,8.5,3.0,4,2015,3,14,False,False,False,False,False,False
cjbox_forceofnature,FORCE OF NATURE,C J Box,25.95,"A commander from Nate Romanowski’s old black-ops military unit attacks Nate by going after his friend Joe Pickett, a Wyoming game warden, and his family.",Putnam,12.0,7.5,3.0,2,2012,3,24,False,False,False,False,False,False
cjbox_nowheretorun,NOWHERE TO RUN,C J Box,,,Putnam,17.0,17.0,17.0,1,2010,4,11,False,False,False,False,False,False
cjbox_offthegrid,OFF THE GRID,C J Box,,The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.,Putnam,19.0,10.333333333333334,1.0,6,2016,3,12,False,False,False,False,False,False
cjbox_paradisevalley,PARADISE VALLEY,C J Box,,A North Dakota investigator pursues a trucker who preys on prostitutes.,Minotaur,13.0,7.333333333333333,4.0,3,2017,7,29,False,False,True,False,False,False
cjbox_shotsfired,SHOTS FIRED,C J Box,,"The stories in this first collection, four of them featuring Box’s character Joe Pickett, are set in Wyoming. ",Putnam,12.0,12.0,12.0,1,2014,7,19,False,False,False,False,False,False
cjbox_stonecold,STONE COLD,C J Box,,"Joe Pickett, a Wyoming game warden and special assistant to the governor, investigates a mysterious wealthy rancher.",Putnam,17.0,9.75,4.0,4,2014,3,15,False,False,True,False,False,False
cjbox_thedisappeared,THE DISAPPEARED,C J Box,,A Wyoming game warden teams up with his daughter to find a missing British businesswoman.,Putnam,15.0,8.8,1.0,5,2018,3,31,True,False,False,False,False,False
cjbox_thehighway,THE HIGHWAY,C J Box,,The former investigator Cody Hoyt searches for two teenage girls who disappeared on a cross-country trip.,Minotaur,16.0,11.5,7.0,2,2013,8,3,True,False,True,False,False,False
cjbox_viciouscircle,VICIOUS CIRCLE,C J Box,,"Newly released from prison, Dallas Cates tries to exact revenge on the Wyoming game warden Joe Pickett, who put him there.",Putnam,11.0,5.666666666666667,2.0,3,2017,3,25,True,False,False,False,False,False
clairemessud_theburninggirl,THE BURNING GIRL,Claire Messud,,An intense friendship between Julia and Cassie is disrupted when they enter adolescence and Cassie's life unravels.,Norton,15.0,15.0,15.0,1,2017,9,2,False,False,False,False,False,False
clairemessud_thewomanupstairs,THE WOMAN UPSTAIRS,Claire Messud,,The quiet life of a teacher and frustrated artist is upended by her friendship with a glamorous couple and their son; from the author of “The Emperor’s Children.” ,Knopf,18.0,16.0,12.0,3,2013,5,4,False,False,False,False,False,False
claudiagray_starwarsbloodline,STAR WARS: BLOODLINE,Claudia Gray,,Leia Organa is urged to become First Senator of the New Republic,Del Rey,14.0,9.5,5.0,2,2016,5,7,False,False,False,False,False,False
clivebarker_thescarletgospels,THE SCARLET GOSPELS,Clive Barker,,"Harry D’Amour, the detective of the supernatural from Barker’s Books of Blood, faces off against Pinhead, the sadistic Cenobite from the Hellraiser series.",St. Martin's,9.0,9.0,9.0,1,2015,5,23,False,False,True,False,False,False
clivecussler_havanastorm,HAVANA STORM,Clive Cussler,,Dirk Pitt becomes involved in a post-Castro power struggle in Cuba.,Putnam,17.0,11.2,4.0,5,2014,11,1,False,False,False,False,False,False
clivecusslerandboydmorrison_piranha,PIRANHA,Clive Cussler and Boyd Morrison,,A man sets out to thwart an American weapons designer.,Putnam,19.0,11.75,4.0,4,2015,5,30,False,False,False,False,False,False
clivecusslerandboydmorrison_theemperorsrevenge,THE EMPEROR'S REVENGE,Clive Cussler and Boyd Morrison,,Juan Cabrillo teams up with a former C.I.A. colleague to thwart a plan involving the death of millions and international economic meltdown.,Putnam,17.0,7.75,1.0,4,2016,6,4,True,False,False,False,False,False
clivecusslerandboydmorrison_typhoonfury,TYPHOON FURY,Clive Cussler and Boyd Morrison,,Juan Cabrillo chases a Filipino insurgent during a megastorm.,Putnam,14.0,9.333333333333334,5.0,3,2017,11,11,False,False,False,False,False,False
clivecussleranddirkcussler_arcticdrift,ARCTIC DRIFT,Clive Cussler and Dirk Cussler,27.95,"In his 20th adventure, Dirk Pitt searches for a crucial element that will help reverse global warming.",Putnam,19.0,9.875,3.0,8,2008,11,29,False,False,False,False,False,False
clivecussleranddirkcussler_crescentdawn,CRESCENT DAWN,Clive Cussler and Dirk Cussler,27.95,Dirk Pitt seeks a tie between a trove of ancient Roman artifacts and a series of mosque explosions.,Putnam,20.0,11.428571428571429,4.0,7,2010,11,21,False,False,False,False,False,False
clivecussleranddirkcussler_odessasea,ODESSA SEA,Clive Cussler and Dirk Cussler,,"Trying to locate an Ottoman shipwreck in the Black Sea, the NUMA director Dirk Pitt encounters more than he expected.",Putnam,19.0,13.0,5.0,6,2016,11,19,False,False,False,False,False,False
clivecussleranddirkcussler_poseidonsarrow,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler,28.95,Dirk Pitt and his team look for the truth about a sophisticated attack submarine.,Putnam,18.0,10.8,2.0,5,2012,11,10,False,False,False,False,False,False
clivecusslerandgrahambrown_devilsgate,DEVIL’S GATE,Clive Cussler and Graham Brown,27.95,"In the ninth NUMA Files novel, Kurt Austin and his crew uncover a plan to blackmail major nations.",Putnam,20.0,12.0,5.0,4,2011,11,19,False,False,True,False,False,False
clivecusslerandgrahambrown_ghostship,GHOST SHIP,Clive Cussler and Graham Brown,,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization responsible for vanishing scientists, suspicious accidents and a human trafficking ring.",Putnam,19.0,11.0,2.0,4,2014,5,31,True,False,True,False,False,False
clivecusslerandgrahambrown_nighthawk,NIGHTHAWK,Clive Cussler and Graham Brown,,The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,Putnam,8.0,6.666666666666667,4.0,3,2017,6,3,True,False,False,False,False,False
clivecusslerandgrahambrown_thepharaohssecret,THE PHARAOH'S SECRET,Clive Cussler and Graham Brown,,Kurt Austin and Joe Zavala must save the NUMA crew from a mysterious toxin deployed by a villain who wants to build a new Egyptian empire.,Putnam,20.0,13.666666666666666,8.0,3,2015,11,21,False,False,True,False,False,False
clivecusslerandgrahambrown_therisingsea,THE RISING SEA,Clive Cussler and Graham Brown,,A scientific team searches the globe for the threat causing sea levels to rise at an alarming rate.,Putnam,11.0,5.333333333333333,1.0,3,2018,3,17,False,False,False,False,False,False
clivecusslerandgrahambrown_thestorm,THE STORM,Clive Cussler and Graham Brown,27.95,"In the 10th NUMA Files novel, Kurt Austin and his team battle a plan to change the world’s weather.",Putnam,20.0,8.0,1.0,5,2012,6,2,False,False,False,False,False,False
clivecusslerandgrahambrown_zerohour,ZERO HOUR,Clive Cussler and Graham Brown,,"Kurt Austin, Joe Zavala and the rest of the Numa team search for a physicist's machine, buried in an ocean trench, that can cause deadly earthquakes in the 11th Numa Files novel.",Putnam,20.0,10.0,4.0,4,2013,6,1,True,False,False,False,False,False
clivecusslerandjustinscott_theassassin,THE ASSASSIN,Clive Cussler and Justin Scott,,The detective Isaac Bell investigates the murders of opponents of the Standard Oil trust in 1905.,Putnam,16.0,10.6,5.0,5,2015,3,7,True,True,True,False,False,False
clivecusslerandjustinscott_thebootlegger,THE BOOTLEGGER,Clive Cussler and Justin Scott,,The early-20th-century detective Isaac Bell tracks a wide-ranging international criminal enterprise. ,Putnam,12.0,7.25,2.0,4,2014,3,8,True,False,True,False,False,False
clivecusslerandjustinscott_thecutthroat,THE CUTTHROAT,Clive Cussler and Justin Scott,,"In 1911, searching for a young actress who has disappeared, the detective Isaac Bell discovers a serial killer.",Putnam,15.0,7.25,1.0,4,2017,3,18,True,False,True,False,False,False
clivecusslerandjustinscott_thegangster,THE GANGSTER,Clive Cussler and Justin Scott,,"n the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against President Theodore Roosevelt.",Putnam,19.0,8.8,1.0,5,2016,3,5,True,False,True,False,True,False
clivecusslerandjustinscott_therace,THE RACE,Clive Cussler and Justin Scott,27.95,It is 1910 and the age of flying machines is still in its infancy. Detective Isaac Bell’s new adventure is taking off.,Putnam,15.0,8.25,2.0,4,2011,9,10,False,False,True,False,False,False
clivecusslerandjustinscott_thespy,THE SPY,Clive Cussler and Justin Scott,27.95,"In 1908, a murder leads the detective Isaac Bell to investigate international spies who are trying to keep America from developing a fleet of dreadnought battleships.",Putnam,19.0,9.4,3.0,5,2010,6,6,True,True,True,False,False,False
clivecusslerandjustinscott_thestriker,THE STRIKER,Clive Cussler and Justin Scott,27.95,"n 1902, the young detective Isaac Bell discovers that provocateurs, not the union members he was hired to investigate, are causing trouble in the coal mines.",Putnam,12.0,6.5,2.0,4,2013,3,9,False,False,True,False,False,False
clivecusslerandjustinscott_thethief,THE THIEF,Clive Cussler and Justin Scott,27.95,Isaac Bell tries to save scientists from German spies.,Putnam,19.0,7.2,1.0,5,2012,3,10,False,False,False,False,False,False
clivecusslerandjustinscott_thewrecker,THE WRECKER,Clive Cussler and Justin Scott,27.95,"In 1907, a detective tracks a mysterious saboteur all over the West.",Putnam,20.0,13.8,6.0,5,2009,11,21,False,False,True,False,False,False
clivecusslerandpaulkemprecos_medusa,MEDUSA,Clive Cussler and Paul Kemprecos,27.95,"In the eighth NUMA Files novel, Kurt Austin and his team confront a rare jellyfish, a Chinese crime syndicate and a deadly virus.",Putnam,20.0,8.8,2.0,5,2009,6,6,True,False,False,False,False,False
clivecusslerandrobinburcell_pirate,PIRATE,Clive Cussler and Robin Burcell,,Sam and Remi Fargo pursue an ancient treasure.,Putnam,17.0,9.0,2.0,4,2016,9,17,False,False,False,False,False,False
