_id,bestsellers_date,published_date,amazon_product_url,author,description,price,publisher,title,rank,rank_last_week,weeks_on_list,l_author,l_title,book_id
5b4aa4ead3089013507db470,2009-02-07,2009-02-22,http://www.amazon.com/Run-Your-Life-Michael-Bennett/dp/044656267X?tag=NYTBS-20,James Patterson and Michael Ledwidge,A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.,27.99,"Little, Brown",RUN FOR YOUR LIFE,2,0,1,jamespattersonandmichaelledwidge,runforyourlife,jamespattersonandmichaelledwidge_runforyourlife
5b4aa4ead3089013507db471,2009-02-07,2009-02-22,http://www.amazon.com/Bone-Crossed-Mercy-Thompson-Book/dp/0441016766?tag=NYTBS-20,Patricia Briggs,A shapeshifter who works as an auto mechanic in Washington State is menaced by a vampire.,24.95,Ace,BONE CROSSED,3,0,1,patriciabriggs,bonecrossed,patriciabriggs_bonecrossed
5b4aa4ead3089013507db472,2009-02-07,2009-02-22,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most human beings, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,4,2,39,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db473,2009-02-07,2009-02-22,http://www.amazon.com/True-Colors-Kristin-Hannah/dp/0312606125?tag=NYTBS-20,Kristin Hannah,"Rivalries, betrayal and forgiveness among three sisters.",25.95,St. Martin's,TRUE COLORS,5,0,1,kristinhannah,truecolors,kristinhannah_truecolors
5b4aa4ead3089013507db474,2009-02-07,2009-02-22,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,A young mute who can communicate with the dogs his family raises takes refuge with three of them in the Wisconsin woods after his father’s death.,25.95,Ecco,THE STORY OF EDGAR SAWTELLE,6,3,35,davidwroblewski,thestoryofedgarsawtelle,davidwroblewski_thestoryofedgarsawtelle
5b4aa4ead3089013507db475,2009-02-07,2009-02-22,http://www.amazon.com/Plum-Spooky-Stephanie-Between-Numbers/dp/142720599X?tag=NYTBS-20,Janet Evanovich,"The bounty hunter Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New Jersey’s Pine Barrens.",27.95,St. Martin's,PLUM SPOOKY,7,4,5,janetevanovich,plumspooky,janetevanovich_plumspooky
5b4aa4ead3089013507db476,2009-02-07,2009-02-22,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20,Mary Ann Shaffer and Annie Barrows,A journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.,22,Dial,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,8,9,21,maryannshafferandanniebarrows,theguernseyliteraryandpotatopeelpiesociety,maryannshafferandanniebarrows_theguernseyliteraryandpotatopeelpiesociety
5b4aa4ead3089013507db477,2009-02-07,2009-02-22,http://www.amazon.com/Very-Valentine-Novel-Adriana-Trigiani/dp/0061257052?tag=NYTBS-20,Adriana Trigiani,An Italian-American shoemaker and her grandmother return to Italy to learn techniques to save their Greenwich Village company; the first book in a trilogy.,25.99,Harper,VERY VALENTINE,9,0,1,adrianatrigiani,veryvalentine,adrianatrigiani_veryvalentine
5b4aa4ead3089013507db478,2009-02-07,2009-02-22,http://www.amazon.com/Agincourt-Bernard-Cornwell/dp/0061578916?tag=NYTBS-20,Bernard Cornwell,An English archer with a complicated past joins Henry V at the famous battle against the French in 1415.,27.99,Harper,AGINCOURT,10,7,3,bernardcornwell,agincourt,bernardcornwell_agincourt
5b4aa4ead3089013507db479,2009-02-07,2009-02-22,http://www.amazon.com/What-Did-Love-Wynette-Texas/dp/0061351504?tag=NYTBS-20,Susan Elizabeth Phillips,"A former sitcom star, abandoned by her husband, elopes with her former co-star, who treats her badly.",25.99,Morrow,WHAT I DID FOR LOVE,11,5,2,susanelizabethphillips,whatididforlove,susanelizabethphillips_whatididforlove
5b4aa4ead3089013507db47a,2009-02-07,2009-02-22,http://www.amazon.com/Black-Ops-Presidential-Agent-Novel/dp/0399155171?tag=NYTBS-20,W E B Griffin,An Army officer and special presidential agent is targeted for death — but by whom?,26.95,Putnam,BLACK OPS,12,8,6,webgriffin,blackops,webgriffin_blackops
5b4aa4ead3089013507db47b,2009-02-07,2009-02-22,http://www.amazon.com/A-Darker-Place-Jack-Higgins/dp/0399155503?tag=NYTBS-20,Jack Higgins,A Russian defector becomes a counterspy.,26.95,Putnam,A DARKER PLACE,13,10,2,jackhiggins,adarkerplace,jackhiggins_adarkerplace
5b4aa4ead3089013507db47c,2009-02-07,2009-02-22,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,Patricia Cornwell,The forensic pathologist Kay Scarpetta takes on a new assignment in New York.,27.95,Putnam,SCARPETTA,14,12,10,patriciacornwell,scarpetta,patriciacornwell_scarpetta
5b4aa4ead3089013507db47d,2009-02-07,2009-02-22,http://www.amazon.com/Basketball-Jones-E-Lynn-Harris/dp/0767926277?tag=NYTBS-20,E Lynn Harris,An N.B.A. star hides his male lover.,22.95,Doubleday,BASKETBALL JONES,15,11,2,elynnharris,basketballjones,elynnharris_basketballjones
5b4aa4ead3089013507db47e,2009-02-07,2009-02-22,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Charlaine Harris,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",0,Ace,FROM DEAD TO WORSE,16,0,0,charlaineharris,fromdeadtoworse,charlaineharris_fromdeadtoworse
5b4aa4ead3089013507db47f,2009-02-07,2009-02-22,http://www.amazon.com/Mounting-Fears-Will-Lee-No/dp/0399155473?tag=NYTBS-20,Stuart Woods,A president must deal with crises ranging from loose nukes in Pakistan to the reappearance of a rogue C.I.A. agent.,0,Putnam,MOUNTING FEARS,17,0,0,stuartwoods,mountingfears,stuartwoods_mountingfears
