,Date,Player Position,Player Name,From,To,Transfer Details
70,Jul 1 2019,Defender,Marvin Friedrich,Union Berlin,Augsburg,"900,000"
71,Jul 1 2019,Midfielder,Florian Flecker,Hartberg,Union Berlin,Free
72,Jul 1 2019,Defender,Dedryck Boyata,Celtic,Hertha Berlin,Free
73,Jul 1 2019,Attacker,Filip Kostic,Hamburg,Frankfurt,5.4million
74,Jul 1 2019,Midfielder,Thomas Pledl,Ingolstadt,Fortuna Dusseldorf,Free
75,Jul 1 2019,Attacker,Niclas Füllkrug,Hannover 96,Werder Bremen,5.85million
76,Jul 1 2019,Attacker,Jann-Fiete Arp,Hamburg,Bayern Munich,2.7million
77,Jul 1 2019,Defender,Lucas Hernandez,Atletico Madrid,Bayern Munich,72million
78,Jul 1 2019,Midfielder,Hannes Wolf,RB Salzburg,RB Leipzig,10.5million
79,Jul 1 2019,Defender,Kevin Mbabu,BSC Young Boys,Wolfsburg,8.28million
80,Jul 1 2019,Attacker,Dong-won Ji,Augsburg,Mainz 05,Free
81,Jul 1 2019,Attacker,Sargis Adamyan,Jahn Regensburg,Hoffenheim,1.35million
82,Jul 1 2019,Attacker,Ilhas Bebou,Hannover 96,Hoffenheim,9million
83,Jul 1 2019,Attacker,Joao Victor,LASK Linz,Wolfsburg,1.80million
84,Jul 1 2019,Midfielder,Mateo Klimowicz,Instituto,Stuttgart,1.35million
85,Jul 1 2019,Midfielder,Kerem Demirbay,Hoffenheim,Bayer Leverkusen,29million
86,Jul 1 2019,Attacker,Suleiman Abdullahi,Braunschweig,Union Berlin,"450,000"
87,Jul 1 2019,Goalkeeper,Max Grun,Darmstadt,Mönchengladbach,Undisclosed
88,Jul 1 2019,Attacker,Anthony Ujah,Mainz,Union Berlin,1.80million
89,Jul 1 2019,Defender,Iago,Internacional,Augsburg,5.85million
90,Jul 1 2019,Defender,Jacob Young,Sunderland,Hoffenheim,Undisclosed
91,Jul 1 2019,Attacker,Woo-yeong Jeong,Bayern Munich,Freiburg,4.1million
92,Jul 1 2019,Defender,Mats Hummels,Bayern Munich,Bor. Dortmund,undisclosed
93,Jul 1 2019,Defender,Stefan Lainer,RB Salzburg,Monchengladbach,10.8million
94,Jul 1 2019,Goalkeeper,Fabian Bredlow,Nurnberg,Stuttgart,undisclosed
95,Jul 1 2019,Midfielder,Xaver Schlager,RB Salzburg,Wolfsburg,13.5million
96,Jul 1 2019,Attacker,Gerrit Holtmann,Mainz 05,Paderborn,Loan
97,Jul 1 2019,Defender,Benjamin Pavard,Stuttgart,Bayern Munich,31.5million
98,Jul 1 2019,Midfielder,Djibril Sow,Young Boys,Frankfurt,8.1million
99,Jul 1 2019,Defender,Mads Pedersen,Nordsjaelland,Augsburg,undisclosed
100,Jul 1 2019,Attacker,Sheraldo Becker,ADO Den Haag,Union Berlin,Free
101,Jul 1 2019,Midfielder,Noah Bazee,Hannover 96,Augsburg,1.6million
102,Jul 1 2019,Midfielder,Ruben Vargas,FC Luzern,Augsburg,2.25million
103,Jul 1 2019,Defender,Paulo Otavio,Ingolstadt,Wolfsburg,undisclosed
104,Jul 1 2019,Midfielder,Eduard Löwen,Nuremberg,Hertha Berlin,6.3million
105,Jul 1 2019,Defender,Jonjoe Kenny,Everton,Schalke 04,Loan
106,Jul 1 2019,Midfielder,Edimilson Fernandes,West Ham United,Mainz 05,undisclosed
107,Jul 1 2019,Midfielder,Cauly,Duisburg,Paderborn,undisclosed
108,Jul 1 2019,Defender,Ronaël Pierre-Gabriel,AS Monaco,Mainz,5.4million
109,Jul 1 2019,Attacker,Moussa Diaby,PSG,Bayer Leverkusen,13.5million
110,Jul 1 2019,Midfielder,Birger Verstraete,Gent,FC Koln,undisclosed
111,Jul 1 2019,Defender,Daley Sinkgraven,Ajax,Bayer Leverkusen,4.5million
112,Jul 1 2019,Midfielder,Robert Andrich,Heidenheim,Union Berlin,undisclosed
113,Jul 1 2019,Attacker,Marcus Ingvartsen,KRC Genk,Union Berlin,undisclosed
114,Jul 1 2019,Attacker,Dejan Joveljic,Crvena Zvezda,Frankfurt,undisclosed
115,Jul 1 2019,Attacker,Breel Embolo,Schalke 04,Monchengladbach,9million
